Fe,C,Cr,Ni,Mn,S,Si,Mo,V,W,Co,Al,P,Cu,Ti,Tensile_Strength_MPa
79.4,0.56,1.36,7.76,1.61,0.05,0.41,0.33,0.88,1.95,2.71,0.97,0,1.94,0.07,986.01
60,0.53,17.95,11.18,0.64,0.01,0.7,1.86,0.07,1.85,2.32,0.72,0.03,2.13,0.01,1176.72
63.24,0.27,11.91,9.68,0.01,0.04,1.55,2.74,0.07,3.83,2.92,0.78,0.04,2.41,0.52,1005.91
66.03,0.75,13.36,3.4,0.39,0.04,1.5,4.54,0.76,2.99,3.27,0.89,0.03,1.9,0.16,1390.05
68.97,0.57,12.9,5.42,0.4,0.02,0.48,1.07,0.42,4.54,2.54,0.19,0,2.09,0.38,1199.29
70.43,0.96,4.9,13.85,0.53,0.05,1.27,1.62,0.27,0.95,3.47,0.22,0.03,0.79,0.66,1397.1
62.93,0.98,14,15.22,0.38,0,1.4,1.84,0.43,0.16,1.3,0.03,0.04,0.73,0.56,1517.61
50.5,0.39,16.16,17.76,0.65,0.05,1.99,4.13,0.84,1.25,2.88,0.07,0,3,0.33,1281.97
58.83,0.9,14.52,17.16,2,0.01,0.08,2.06,0.13,0.11,1.8,0.78,0.03,0.94,0.65,1518.04
63.07,0.92,0.7,16.74,1.24,0.03,1.25,4.32,0.59,2.9,4.95,0.76,0.02,2.12,0.39,1569.55
54.6,0.28,10.74,18.56,1.86,0.02,1.06,1.06,1,4.91,3.25,0.8,0.04,1.78,0.05,1178.65
63.69,0.82,6.72,18.83,0.33,0.03,1.38,3.49,0.65,1.38,0.78,0.64,0.03,0.54,0.71,1408.62
53.97,0.55,12.02,16.75,0.34,0,1.56,3.05,0.7,4.19,4.01,0.96,0.03,1.47,0.4,1391.19
62.95,0.34,16.58,11.66,1.19,0.02,0.1,0.16,0.42,0.42,3.03,0.88,0.04,1.98,0.21,913.33
59.77,1.04,15.95,3.93,1.47,0.01,1.61,4.99,0.03,4.49,3.11,0.97,0.02,2.54,0.06,1740.48
59.44,1.17,14.71,17.05,1.88,0,0.77,0.36,0.21,1.15,2.35,0.27,0.01,0.5,0.15,1677.34
57.22,1.17,13.67,19.36,0.88,0.01,1.6,1.63,0.3,1.16,0.65,0.26,0.02,2.02,0.06,1735.79
66.63,0.18,6.17,17.29,0.31,0,0.97,1.51,0.56,4.02,0.69,0.58,0.03,0.43,0.62,870.82
76.24,0.34,8.78,1.65,0.92,0.02,1.64,0.28,0.42,2.29,3.63,0.57,0.03,2.33,0.86,869.52
48.9,1.01,17.81,17.79,0.74,0.01,0.98,3.71,0.49,2.42,4.19,0.36,0.04,1.22,0.33,1731.34
71.29,0.55,13.72,2.52,0.39,0.05,0.35,2.84,0.58,2.45,3.22,0.23,0.03,1.12,0.66,1156.91
78.62,0.23,5.02,4.37,0.37,0.04,0.57,4.64,0.97,2.86,0.72,0.37,0.04,1.1,0.09,805.91
59.79,0.67,15.21,15.92,0.35,0.03,0.44,1.09,0.87,1.25,1.32,0,0.04,2.38,0.63,1286.74
79.82,0.56,6.32,1.88,0.97,0.05,0.08,1.46,0.21,1.19,4.54,0.47,0.02,2.28,0.15,945.43
68.29,0.59,7.74,11.94,2,0.04,0.8,4.14,0.17,0.15,1.02,0.34,0.03,1.85,0.91,1211.59
82.19,0.07,0.63,11.02,0.88,0.04,0.32,0.12,0.45,1.19,0.25,0.72,0.01,1.82,0.28,600.72
64.36,0.22,6.84,16.03,0.78,0.04,0.25,3.86,0.24,3.39,2.83,0.93,0.02,0.2,0.02,942.9
71.03,0.93,4.22,6.9,0.06,0.05,1.34,4.67,0.27,3.06,3.39,0.32,0.04,2.84,0.88,1501.22
72.53,0.89,4.99,5.63,1.93,0,1.43,3.53,0.62,4.95,1.56,0.34,0,1.33,0.26,1515.8
77.35,1.12,3.34,7.45,1.86,0,0.18,0.81,0.6,0.75,4.84,0.45,0.03,0.74,0.47,1418.73
60.05,0.8,13.52,15.08,1.16,0.05,1.63,3.79,0.06,0.03,1.06,0.66,0.02,1.21,0.88,1480.16
82.01,0.33,3.43,3.69,0.68,0.02,1.66,0.6,0.73,2.66,1.44,0.49,0.01,1.79,0.43,756.04
70.08,0.21,2.1,10.93,1.8,0.02,1.47,3.29,0.93,4.1,2.83,0.66,0.04,1.2,0.33,917.84
77.68,0.7,8.35,2.37,1.96,0.01,0.13,2.97,0.74,0.16,3.29,0.53,0.01,0.52,0.57,1189.58
57.43,0.36,16.89,16.37,1.97,0.01,1.94,2.16,0.35,0.25,0.26,0.69,0.02,0.68,0.61,1151.01
57.57,0.44,14.82,16.41,0.95,0.02,0.73,4.03,0.33,1.05,0.42,0.47,0.02,2.52,0.22,1160.01
51.88,0.46,14.55,16.47,0.77,0.02,0.61,4.66,0.12,4.67,3.42,0.53,0,1.43,0.41,1388.88
63.91,1.17,10.12,14.3,0.14,0.02,0.23,3.06,0.94,3.31,0.38,0.35,0.03,1.21,0.83,1719.54
71.23,0.98,11.01,7.47,0.51,0.01,0.71,2.07,0.68,3.29,0.35,0.4,0.01,0.47,0.83,1513.85
53.52,0.21,15.83,11.14,0.46,0.03,1.46,4.79,0.22,4.43,4.67,0.92,0.03,1.89,0.4,1140.99
61.5,0.91,9.56,13.55,0.86,0.04,1.65,0.73,0.83,2.7,4.22,0.43,0.02,2.75,0.25,1469.27
69.79,0.62,5.55,11.46,0.65,0,0.54,0.03,0.98,4.83,1.98,0.73,0.02,2.01,0.81,1235.74
64.6,1.14,7.2,15.67,0.53,0.05,0.05,3.02,0.66,3.44,0.6,0.94,0.01,1.87,0.22,1673.77
87.71,0.51,2.88,3.42,0.84,0.04,1.8,0.42,0.39,0.5,0.08,0.66,0.03,0.49,0.23,727.56
56.65,0.04,15.03,19.49,0.27,0.01,1.74,4.63,0.42,0.25,0.2,0.57,0.02,0.09,0.58,928.88
59.88,0.71,7.16,19.48,1.09,0.01,1.42,1.36,0.9,1.87,2.75,0.05,0.02,2.5,0.81,1362.07
69.84,0.28,4.07,16.35,1.86,0,0.9,1.69,0.87,0.42,1.06,0.75,0,1.48,0.44,856.52
77.02,0.64,2.9,11.44,1.61,0.04,0.31,0.75,0.27,1.81,2.04,0.68,0,0.1,0.39,992.17
71.96,0.84,3.48,12.83,0.52,0.04,1.79,1.49,0.23,2.06,1.2,0.67,0.04,2.02,0.82,1236.98
62.47,0.89,6.49,13.43,0.54,0,1.99,0.78,0.99,4.89,3.97,0.66,0.03,2.6,0.29,1487.22
62.28,0.57,11.15,8.22,0.85,0.02,1.13,4.25,0.2,4.67,3.45,0.82,0.03,2.34,0.02,1279.16
62.58,0.92,4.55,17.31,0.21,0.01,1.96,3.37,0.85,1.62,3.38,0.59,0.03,2.05,0.58,1503.02
70.17,0.52,4.97,15.37,0.45,0.03,0.47,3.13,0.75,1.09,0.3,0.13,0.03,2.55,0.04,1039.48
66.25,0.58,16.72,6.64,0.93,0,0.16,1.29,0.03,3.16,2.13,0.55,0.01,0.89,0.66,1253.38
70.72,1.16,0.91,17.81,1.15,0.03,1,0.35,0.09,3,1.7,0.92,0.02,0.43,0.71,1522.37
57.41,0.84,16.2,15.84,1.35,0.03,1.89,1.48,0,1.36,1.09,0.66,0.03,1.78,0.02,1389.38
66.36,0.88,5.82,13.3,1.11,0.02,0.27,0.47,0.83,4.59,3.25,0.1,0.02,2.19,0.78,1407.3
77.02,0.31,0.23,10.81,1.7,0.05,1.13,2.57,0.09,2.74,1.9,0.61,0.02,0.72,0.09,858.82
76.71,0.38,1.74,3.54,1.97,0.02,1.06,4.37,1,2.91,4.06,0.33,0.02,1.21,0.67,995.51
71.51,0.17,11.38,2.57,1.16,0.03,1.4,3.77,0.87,2.5,3.65,0.62,0.01,0.08,0.28,933.74
61.39,0.54,11.11,17,0.39,0.01,1.93,0.54,0.48,2.93,2.71,0.09,0,0.32,0.59,1161.44
69.06,0.77,14.76,0.83,1,0.03,0.5,1.54,0.61,4.49,4.05,0.58,0.04,1.09,0.64,1373.07
71.35,0.56,3.42,14.03,1.11,0.02,1.82,0.1,0.32,0.28,3.83,0.7,0.02,2.03,0.4,993.1
65.63,0.5,16.83,5.02,0.24,0.03,1.94,1.89,0.06,1.7,2.53,0.16,0.03,2.99,0.45,1170.61
76.44,0.43,7.21,2.3,1.77,0.02,0.77,3.3,0.44,3.24,0.31,0.81,0.05,1.95,0.95,1031.21
72.65,0.73,10.47,8.03,0.68,0.01,0.78,0.81,0.73,1.04,0.29,0.55,0.03,2.62,0.58,1163.31
66.92,0.42,14.45,10.81,0.16,0.03,1.82,1.98,0.3,0.72,0.76,0.43,0.03,0.24,0.94,1068.37
74.65,1,1.44,9.54,1.26,0.04,1.57,1.39,0.94,0.62,4.38,0.97,0.01,2.17,0.04,1395.42
64.61,0.49,9.29,11.61,1.87,0.03,0.96,4.05,0.95,0.11,4.91,0.09,0.04,0.84,0.13,1227.36
70.25,0.46,0.98,11.99,1.8,0.02,0.43,2.21,0.05,4.1,4.13,0.59,0.02,2.4,0.55,1023.14
59.91,0.99,11.37,15.69,1.2,0.02,1.92,2.71,0.61,1.1,3.13,0.57,0.01,0.18,0.6,1623.48
78.69,0.28,12,1.6,0.88,0.01,0.37,1.01,0.39,0.26,1.99,0.51,0.02,1.15,0.84,828.17
76.98,0.18,9.1,1.24,0.14,0.03,1.13,4.39,0.56,4.8,0.24,0.1,0,0.56,0.54,881.4
69.19,1.14,15.16,5.93,0.15,0.01,0.25,0.62,0.52,1.23,1.79,0.99,0.03,2.85,0.14,1535.64
80.35,0.46,9.99,1.54,0.01,0.03,1.28,2.05,0.49,2.08,0.12,0.34,0.01,0.3,0.96,1015.34
73.16,0.39,7.08,4.74,0.19,0.01,1.6,3.39,0.55,2.38,4.61,0.07,0.01,1.05,0.78,1041.96
64.38,1.19,4.33,17.49,1.66,0.01,0.8,2.05,0.98,0.9,4,0.33,0.04,1.26,0.58,1691.42
73.2,1.04,1.07,13.84,0.28,0.02,1.1,2.01,0.52,4.98,0.68,0.68,0.02,0.4,0.16,1494.7
52.89,1.14,15.83,18.14,1.98,0.01,0.71,3.35,0.48,2.09,1.79,0.59,0.03,0.48,0.47,1914.51
72.82,0.26,13.36,0.5,0.71,0.04,1.13,1.31,0.69,2.84,3.98,0.74,0.03,1.46,0.13,910.8
70.91,0.32,7.54,11.99,1.03,0.01,0.01,2.48,0.29,3.67,0.12,0.58,0.05,0.52,0.47,955.17
63.41,0.67,7.33,10.43,1.79,0.01,0.05,4.31,0.58,4.45,2.98,0.81,0.02,2.25,0.91,1394
79.96,0.69,3.25,5.38,0.4,0.01,0.61,2.78,0.59,2.13,3.08,0.08,0,0.52,0.52,1120.11
68.65,0.49,14.61,0.28,1.3,0.03,1.6,4.66,0.02,0.77,4.43,0.46,0.03,1.99,0.68,1127.23
59.02,1.12,17.95,14.4,0.57,0.04,0.1,1.16,0.9,1.28,1.1,0.14,0.04,1.5,0.67,1704.8
68.72,0.91,5.63,8.21,0.42,0.05,1.29,4.67,0.3,3.91,3.83,0.69,0.05,1.18,0.13,1447.05
64.03,0.81,13.13,11.5,0.41,0.03,0.62,2.14,0.65,3.73,1.16,0.41,0.01,0.6,0.78,1450.71
56.56,0.9,16.15,16.92,0.37,0.05,0.75,1.7,0.06,2.43,0.55,0.25,0.02,2.43,0.88,1565.32
53.2,0.37,15.46,17.14,1.53,0.01,1.38,4.73,0.68,1.66,2.5,0.65,0.03,0.36,0.31,1288.85
60.1,0.17,17.14,6.58,1.32,0.04,1.62,4.73,0.31,4.29,0.66,0.71,0.04,2.03,0.25,1078.64
80.31,1.05,3.04,1.07,1.43,0.02,1.7,1.92,0.17,4.18,2.74,0.19,0.04,1.53,0.6,1460.38
72.58,1,12.77,2.11,1.68,0.03,1.39,1.81,0.88,3.63,0.56,0.41,0.04,0.14,0.96,1532.16
74.19,0.82,11.36,5.41,0.5,0.05,0.6,3.88,0.39,0.7,0.05,0.54,0.05,1.11,0.36,1298.43
59.93,0.53,15.84,10.11,1.02,0.01,1.97,1.25,0.07,3.32,2.98,0.42,0.02,2.36,0.2,1169.35
64.11,0.99,11.68,8.38,0.92,0.01,1.5,2.56,0.32,2.98,4.98,0.44,0.05,1.04,0.05,1539.09
68.11,0.27,0,18.3,1.69,0.04,0.34,0.6,0.07,3.62,4.64,0.43,0.01,1.54,0.35,802.74
67.51,0.46,11.18,14.37,0.22,0,1.99,1.16,0.05,0.95,0.19,0.39,0.04,1.02,0.44,1020.37
67.94,1.04,15.59,0.2,1.56,0.02,1.98,2.42,0.99,3.77,1.24,0.54,0.05,2.57,0.1,1681.88
85.63,0.85,6.22,0.14,0.81,0.01,1.64,1.69,0.83,0,1.54,0.24,0.01,0.2,0.19,1109.22
67.83,0.51,6.78,17.52,1.81,0.02,0.66,0.53,0.95,0.3,1.49,0.3,0.02,0.49,0.78,1083.25
73.9,0.16,11.43,2.48,0.14,0.05,0.38,4.11,0.54,0.39,4.78,0.25,0.04,0.51,0.85,796.61
53.63,0.93,16.83,18.18,1.64,0.04,0.4,1.42,0.29,1.89,1.97,0.54,0.01,2.07,0.17,1566.61
62.16,0.38,9.06,15.93,1.48,0.03,0.31,2.74,0.09,1.89,2.07,0.04,0.01,2.87,0.95,1071.46
60.33,0.22,7.06,18.96,0.28,0.04,0.22,4.91,0.38,3.88,1.71,0.63,0.01,0.44,0.94,1064.83
61.48,1.1,15.97,12.51,1.62,0,0.67,1.57,0.64,1.78,0.74,0.6,0.04,1.15,0.13,1644.13
64.72,0.37,11.57,12.02,1.39,0.02,1.65,1.02,0.47,4,0.9,0.11,0.04,1.03,0.68,1048.06
75.72,0.04,12.42,6.32,0.11,0.03,0.48,1.93,0.08,0.74,1.49,0.09,0.05,0.02,0.48,593.42
64.92,1.11,2.91,19.32,0.41,0.04,1.09,4.42,0.55,2.67,0.98,0.17,0.05,0.98,0.37,1627.26
64.31,0.91,6.1,19.04,1.48,0.03,1.76,0.25,0.26,2.33,1.13,0.74,0.05,1.27,0.34,1387.58
60.43,0.59,6.33,18.19,1.14,0.04,1.62,1.71,0.43,4.24,1.82,0.79,0.05,1.87,0.74,1285.4
64.43,0.97,15.21,7.9,0.1,0.02,1.35,2.25,0.75,1.78,3.17,0.19,0.04,1.64,0.2,1560.91
63.56,0.58,3.89,19.35,1.43,0.05,0.85,2.38,0.9,2.63,3.54,0.25,0.02,0.37,0.21,1191.39
63.72,0.01,0.71,19.55,0.48,0.03,1.68,2.75,0.15,3.64,3,0.73,0.04,2.93,0.57,780.44
67.01,0.09,16.15,2.39,0.66,0.04,1.19,1.97,0.47,4.27,1.7,0.87,0,2.33,0.85,835.16
79.96,0.23,7.75,3.31,1.41,0.03,1.27,0.98,0.21,0.21,1.61,0.56,0.04,2,0.44,676.97
72.96,0.32,0.95,14.52,0.24,0.02,1.06,2.82,0.6,0.83,1.9,0.62,0.05,2.18,0.92,896.94
73.9,0.92,10.65,3.84,1.33,0.03,1.2,2.45,0.53,1.67,2.6,0.2,0.04,0.56,0.08,1430.75
70.76,0.53,4.98,11.16,0.69,0.05,1.85,2.51,0.33,3.69,0.18,0.47,0.02,2.76,0.01,1069.65
64.34,0.67,13.33,9.7,0.17,0.05,1.04,3.07,0.24,2.42,2.15,0.07,0.01,2.51,0.24,1293.98
77.21,0.92,1.12,11.54,0.24,0,0.11,4.17,0.12,0.23,2.19,0.84,0.01,1.27,0.04,1250.59
62.63,0.54,10.4,11.42,0.66,0.02,0.21,1.83,0.1,3.83,4.83,0.97,0.04,1.8,0.7,1224.17
62.36,0.55,8.68,15.16,0.56,0.02,1.85,0.28,0.49,4.56,3.05,0.55,0.01,1.03,0.85,1180.52
72.97,0.68,9.27,1.99,0.03,0.05,0.75,3.02,0.08,3.42,4.66,0.58,0.01,1.75,0.77,1247.08
57.82,0.78,16.19,12.47,0.26,0.02,0.4,4.54,0.76,3.38,1.5,0.18,0.04,1.42,0.23,1545.19
82.5,0.74,0.73,6.52,0.94,0.01,1.97,1.05,0.13,1.02,3.85,0.43,0.03,0.06,0.03,1081.27
69.25,1.06,1.56,10.77,1.83,0.02,1.66,0.67,0.94,3.76,4.71,0.68,0.02,2.81,0.28,1519.3
58.1,0.41,12.61,15.31,1.86,0.01,1.6,3.69,0.06,1.94,1.41,0.3,0.05,1.93,0.72,1194.83
64.36,0.96,7.82,17.39,0.36,0.05,0.44,1.63,0.76,1.97,3.04,0.44,0.04,0.68,0.06,1459.84
76.14,0.37,8.54,3.36,0.71,0.02,0.11,2.92,0.88,0.76,2.99,0.66,0.02,2.1,0.41,912.62
72.26,0.83,11.9,0.77,0.74,0.05,0.84,2.51,0.91,3.59,2.91,0.8,0.04,1.37,0.48,1376.7
57.67,0.47,17.4,13.94,0.17,0.04,0.96,0.34,0.55,2.09,4.39,0.2,0.04,1.67,0.05,1131.96
64.05,0.36,8.45,17.16,0.61,0.01,0.26,1.49,0.78,2.36,1.14,0.17,0.02,2.82,0.34,1035.59
73.79,1.19,8.73,3.58,1.78,0.02,1.42,4.92,0.05,0.48,3.6,0.28,0.01,0.12,0.02,1612.65
66.25,0.57,10.91,8.57,0.05,0.04,0.02,3.81,0.89,2.16,2.68,0.48,0.02,2.66,0.89,1253.78
58.65,0.41,11.07,18.54,1.92,0.03,0.91,1.39,0.96,0.71,2.9,0.28,0.01,1.21,1,1155.13
73.26,0.11,2.78,8.79,1.02,0.01,0.63,0.43,0.3,4.83,4.72,0.33,0.03,2.73,0.01,669.37
70.46,0.97,17.07,1.83,0.32,0.05,1.08,0.07,0.26,2.25,3.46,0.73,0.05,0.86,0.54,1325.9
49.59,0.21,17.59,17.07,1,0.03,0.45,2.72,0.69,2.58,4.95,0.61,0.02,2.32,0.17,1147.82
71.97,0.47,6.25,8.64,1.56,0.02,1.59,2.88,0.34,4.05,1.19,0.22,0.03,0.78,0.01,1084.75
55.22,0.54,17.41,11.42,1.73,0.01,1.14,4.34,0.58,3.59,1.86,0.09,0.02,1.18,0.87,1514.81
48.36,0.3,17.4,19.16,0.5,0.02,1.79,4.83,0.44,1.6,2.63,0.69,0.01,2.21,0.05,1241.08
68.65,0.43,5.68,9.82,0.64,0.01,0.62,4.87,0.41,2.22,2.88,0.98,0.01,2.04,0.72,1103.24
74.41,0.73,1.59,13.54,0.13,0.03,1.48,1.05,0.84,0.15,4.22,0.46,0.01,0.4,0.95,1187.81
78.78,0.66,2.26,5.79,0.48,0.01,0.82,3.52,0.22,1.83,1.95,0.98,0.05,2.4,0.24,1041.23
75.98,0.09,5.7,5.34,1.01,0.04,1.72,4.22,0.36,3.44,1.56,0.06,0.04,0.03,0.41,804.74
64.54,0.92,5.47,16.23,0.59,0.02,1.45,3.46,0.99,1.13,3.31,0.61,0.05,0.47,0.75,1473.02
74.71,0.69,4.94,9.49,0.67,0.03,1.78,2.85,0.63,2.59,0.26,0.23,0.02,0.93,0.18,1134.71
72.94,0.32,8.35,2.67,1.86,0.04,1.42,0.53,0.78,4.04,3.84,0.11,0.03,2.5,0.58,924.04
72.94,0.78,8.25,10.57,0.07,0.03,0.16,2.18,0.29,2.73,0.67,0.69,0.04,0.49,0.1,1160.47
62.68,0.14,11.69,17.36,1.66,0.03,0.15,0.56,0.05,1.29,0.68,0.26,0.02,2.83,0.61,866.19
72.03,1,12.79,2.25,1.47,0.01,1.28,1.7,1,1.32,1.4,0.93,0,2.09,0.73,1525.98
70.6,0.78,2.31,13,1.96,0.05,0.88,0.2,0.36,4.13,3.51,0.46,0,1.28,0.47,1288.67
68.83,1.11,11.54,6.23,1.05,0,1.95,1.8,0.48,1.78,3.41,0.66,0.04,0.8,0.32,1600.76
59.34,0.06,10.76,17.39,1.78,0.02,0.92,0.38,0.67,4.11,1.22,0.42,0.04,2.63,0.24,817.16
82.06,0.67,3.46,2.04,1.82,0.04,1.52,0.24,0.84,2.19,1.71,0.55,0,2.27,0.58,1036.48
76.72,0.23,1.03,11.76,1.68,0,0.1,2.86,0.82,1.63,1.75,0.6,0.01,0.08,0.74,810.08
61.81,0.75,10.45,14.83,1.35,0.01,0.7,0.63,0.13,3.38,4.29,0.96,0.03,0.55,0.11,1340.49
55.78,0.75,14.07,14.07,1.67,0,1.5,4.25,0.29,3.2,1.57,0.96,0,1.74,0.17,1582.47
80.23,0.86,3.17,4.71,0.99,0.05,0.42,0.72,0.76,2.5,4.56,0.15,0.03,0.7,0.16,1212.93
73.48,0.91,5.57,8.96,0.81,0.05,0.58,1.47,0.35,2.82,1.26,0.92,0.01,2.69,0.1,1360.91
68.67,0.79,16.33,3.37,1.94,0.02,1.89,3.38,0.3,0.94,1.52,0.09,0.01,0.31,0.42,1392.22
68.97,0.17,11.58,3.94,0.2,0.01,1.85,4.11,0.35,3.28,2.69,0.68,0.03,1.89,0.27,922.11
58.43,0.06,8.2,17.82,1.14,0.04,1.98,0.82,0.69,3.37,4.9,0.99,0.03,0.73,0.8,861.5
65.84,1.09,6.89,12.61,0.86,0.02,0.62,3.81,0.94,4.7,0.87,0.87,0.04,0.76,0.07,1675.38
60.12,0.33,16.42,12.66,1.44,0.01,1.44,0.14,0.38,3.13,0.73,0.82,0.01,1.96,0.41,1032.37
62.77,0.03,16.37,5.39,1.64,0.05,0.42,1.33,0.66,4.83,4.58,0.5,0.04,0.41,0.98,876.8
77.33,1.16,2.95,5.99,0.2,0.01,1.63,1.89,0.09,1.71,4.91,0.63,0.02,0.5,0.99,1473.52
80.24,0.09,1.02,2.41,1.16,0.05,0.99,4.21,0.45,3.54,3.66,0.17,0.02,1.91,0.07,715.41
55.06,0.44,9.63,19.92,0.95,0.04,0.86,3.98,0.6,4.43,2.05,0.6,0.03,1.25,0.14,1262.27
65.39,0.26,13.25,6.4,1.01,0.01,1.92,4.26,0.86,2.03,3.81,0.14,0,0.06,0.59,1098.03
74.37,0.55,9.32,0.15,0.85,0.04,0.89,3.66,0.23,4.07,2.94,0.21,0.01,1.88,0.83,1122.14
64.63,1.04,12.05,8.96,0.98,0.01,1.25,1.79,1,2.4,2.43,0.57,0.05,2.4,0.45,1585.98
64.08,0.87,10.55,9.85,0.38,0.02,0.49,4.57,0.34,4.76,2.67,0.63,0.03,0.39,0.38,1550.97
69.4,0.54,14,4.41,0.33,0.02,1.85,3.55,0.42,2.59,0.42,0.98,0.03,0.86,0.59,1175.4
62.32,0.14,17.39,3.5,1.3,0.01,1.44,3.88,0.67,3.07,4.46,0.08,0.02,0.74,0.99,1088.76
78.81,0.82,3.82,4.78,0.56,0.02,0.47,0.1,0.88,4.83,1.71,0.34,0,2.04,0.83,1234.86
66.4,0.18,2.87,15.8,1.23,0,1.25,1.54,0.37,3.85,4.05,0.4,0.05,1.22,0.77,903.27
63.19,1.09,1.57,18.73,1.65,0.04,0.4,4.03,0.85,1.45,4.76,0.05,0.01,1.61,0.58,1653.42
66.46,0.78,0.31,19.21,0.09,0.01,0.03,2.83,0.93,3.33,4.11,0.01,0.03,1.38,0.5,1359.91
62.01,0.61,13.77,9.71,0.3,0.03,0.34,4.36,0.61,0.79,4.81,0.52,0,1.88,0.25,1286.02
54.68,0.97,14.72,19.58,1,0.02,1.51,0.66,0.55,2.73,0.45,0.42,0.04,2.57,0.1,1582.75
70.73,1.05,2.32,14.4,0.2,0.03,0.71,3.94,0.23,3.2,1.18,0.71,0.04,0.38,0.87,1523.03
74.22,0.72,2.29,8.55,0.32,0.04,1.52,0.53,0.51,4.07,4.68,0.51,0.05,1.61,0.39,1149.73
62.06,0.57,8.83,16.94,1.66,0.02,0.67,2.46,0.57,1.19,3.97,0.49,0.02,0.32,0.24,1258.36
80.4,1.14,5.49,3.38,0.92,0.02,0.07,1.62,0.54,2.76,1.78,0.45,0.05,1.13,0.26,1439.5
71.02,0.91,3.71,14.19,0.04,0.02,1.55,1.69,0.56,1.02,3.71,0.05,0.04,0.59,0.87,1303.39
65.45,0.43,13.01,6.38,1.81,0.01,0.36,2.47,0.08,0.98,4.72,0.98,0.02,2.77,0.54,1106.42
64.3,0.79,17.8,5.3,1.34,0,0.23,0.02,1,4.01,3.93,0.51,0.02,0.45,0.28,1395.52
62.91,0.46,13.61,10.79,0.15,0,0.2,2.05,0.93,3.19,4.01,0.47,0.02,0.33,0.88,1184.01
71.67,0.62,8.77,12.5,1.89,0.03,1.08,0.25,0.06,0.94,0.16,0.74,0.04,0.41,0.84,1098.97
82.57,0.19,5.42,4.98,0.74,0.01,0.98,2.04,0.99,0.28,0.71,0.05,0.03,0.16,0.84,797.63
84.18,0.68,3.07,3.95,0.64,0.03,0.42,0.58,0.97,0.11,4.01,0.79,0.01,0.41,0.15,1012.05
62.11,0.84,11.57,15.65,1.87,0.03,0.31,1.22,0.84,1.05,0.36,0.7,0.02,2.76,0.65,1397.51
76.94,0.49,0.92,9.93,0.25,0.02,0.7,3.86,0.8,0.77,1.83,0.37,0.01,2.4,0.71,975.14
73.53,0.24,6.6,2.12,1.26,0.01,1.97,3.9,0.39,2.89,4.56,0.55,0.01,1.14,0.84,980.2
51.27,1.04,16.09,18.4,0.19,0.03,1.48,3.78,0.61,0.83,3.99,0.72,0,1.39,0.17,1792.47
76.31,0.41,0.33,8.01,1.1,0.03,1.33,4.18,0.22,0.6,4.26,0.16,0.05,2.53,0.5,949.64
68.43,0.43,16.71,1.31,1.1,0.03,1.31,1.28,0.36,4.22,0.97,0.83,0.03,2.29,0.71,1057.96
60.83,0.26,10.24,17.35,0.86,0.05,0.9,0.71,0.39,4.76,1.6,0.87,0.04,1.05,0.08,929.97
67.33,0.94,7.97,9.71,1.56,0.02,0.89,1.88,0.37,2.63,4.04,0.36,0.03,2.01,0.27,1488.06
55.66,0.34,16.8,14.47,1.15,0.03,0.06,3.09,0.51,2.73,1.8,0.08,0.01,2.85,0.41,1156.87
65.93,0.05,12.91,10.76,1.02,0.01,1.49,0.84,0.19,2.3,1.43,0.25,0.03,1.95,0.82,766.35
82.66,0.51,1.32,5.47,1.96,0.03,1.42,0.04,0.52,0.19,2.85,0.92,0.05,1.62,0.46,835.04
71.58,0.09,8.38,4.8,0.94,0.02,1.16,1.78,0.16,2.52,4.15,0.66,0.02,2.81,0.91,753.81
72.91,0.26,0.71,14.83,1.66,0.05,1.78,3,0.53,0.14,1.23,0.46,0.03,1.67,0.74,842.61
63.92,0.11,7.45,15,1.39,0.05,0.56,2.49,0.33,2.2,4.28,0.68,0.04,0.61,0.87,786.56
65.66,0.08,15.99,6.58,0.63,0.03,1.88,0.24,0.35,4.28,1.98,0.2,0.02,1.16,0.92,838.63
74.69,1.19,8.37,1.16,0.52,0.02,0.31,4.74,0.77,1.34,2.95,0.72,0.05,2.64,0.52,1679.92
67.45,0.93,10.12,11.05,0.23,0.01,1.06,1.34,0.02,3.61,0.16,0.6,0.03,2.91,0.48,1438.83
62.53,1.01,17.94,8.61,0.64,0.05,0.38,3.08,0.41,0.21,1.74,0.27,0.03,2.85,0.27,1538.27
70.92,0.98,1,10.76,0.14,0.05,1.53,3.29,0.82,3.24,4.84,0.71,0.05,1.55,0.12,1411.65
64.24,0.72,8.68,12.45,0.02,0.01,0.98,4.75,0.38,2.12,3.57,0.6,0.01,1.23,0.22,1374.85
80.57,1.16,2.35,7.44,0.05,0.01,1.56,1.01,0.08,2.37,0.05,0.08,0.04,2.31,0.92,1442.59
53.4,0.07,14.09,16.91,1.6,0.03,0.47,4.23,0.73,4.9,0.78,0.23,0.01,2.38,0.19,1093.02
66.73,0.09,17.97,0.5,1.67,0.02,1.68,2.77,0.9,4.63,0.05,0.08,0.01,2.01,0.89,1040.86
56.84,0.23,14.49,19.35,0.54,0.02,0.17,2.8,0.5,0.72,2.21,0.33,0.03,1.76,0.01,968.67
68.72,0.92,12.83,7.33,0.11,0.04,1.91,1.2,0.32,0.92,2.88,0.15,0.02,2.09,0.56,1343.43
